D 00:04:07.4776510 PowerTaskList.DebugPrintPower() -     CREATE_GAME
D 00:04:07.4776820 PowerTaskList.DebugPrintPower() -         GameEntity EntityID=1
D 00:04:07.4777430 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 00:04:07.4777880 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=1
D 00:04:07.4778420 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=GAME
D 00:04:07.4778930 PowerTaskList.DebugPrintPower() -         Player EntityID=2 PlayerID=1 GameAccountId=[hi=144115198130930503 lo=27472745]
D 00:04:07.4779400 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=96
D 00:04:07.4779860 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 00:04:07.4780290 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 00:04:07.4780750 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=1
D 00:04:07.4781210 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=1
D 00:04:07.4781720 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 00:04:07.4782150 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=1
D 00:04:07.4782570 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=2
D 00:04:07.4782990 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 00:04:07.4783500 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 00:04:07.4783950 PowerTaskList.DebugPrintPower() -         Player EntityID=3 PlayerID=2 GameAccountId=[hi=144115188075855872 lo=0]
D 00:04:07.4784920 PowerTaskList.DebugPrintPower() -             tag=HERO_ENTITY value=98
D 00:04:07.4785350 PowerTaskList.DebugPrintPower() -             tag=MAXHANDSIZE value=10
D 00:04:07.4785780 PowerTaskList.DebugPrintPower() -             tag=STARTHANDSIZE value=4
D 00:04:07.4786230 PowerTaskList.DebugPrintPower() -             tag=PLAYER_ID value=2
D 00:04:07.4786660 PowerTaskList.DebugPrintPower() -             tag=TEAM_ID value=2
D 00:04:07.4787200 PowerTaskList.DebugPrintPower() -             tag=ZONE value=PLAY
D 00:04:07.4787630 PowerTaskList.DebugPrintPower() -             tag=CONTROLLER value=2
D 00:04:07.4788050 PowerTaskList.DebugPrintPower() -             tag=ENTITY_ID value=3
D 00:04:07.4788480 PowerTaskList.DebugPrintPower() -             tag=MAXRESOURCES value=10
D 00:04:07.4789570 PowerTaskList.DebugPrintPower() -             tag=CARDTYPE value=PLAYER
D 00:04:07.4790430 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=4 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4790990 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4791430 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4791910 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=4
D 00:04:07.4792710 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Y'Shaarj's Strength id=5 zone=SETASIDE zonePos=0 cardId=OG_202a player=1] CardID=OG_202a
D 00:04:07.4793250 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4793670 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4794090 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=5
D 00:04:07.4794650 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4795220 PowerTaskList.DebugPrintPower() -         tag=RARITY value=RARE
D 00:04:07.4795620 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=4
D 00:04:07.4796380 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=4
D 00:04:07.4797020 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Yogg-Saron's Magic id=6 zone=SETASIDE zonePos=0 cardId=OG_202b player=1] CardID=OG_202b
D 00:04:07.4797560 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4797990 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4798410 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=6
D 00:04:07.4798900 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4799390 PowerTaskList.DebugPrintPower() -         tag=RARITY value=RARE
D 00:04:07.4799810 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=4
D 00:04:07.4800280 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=4
D 00:04:07.4800960 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=7 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4801510 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4801940 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4802380 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=7
D 00:04:07.4802930 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Y'Shaarj's Strength id=8 zone=SETASIDE zonePos=0 cardId=OG_202a player=1] CardID=OG_202a
D 00:04:07.4803510 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4803920 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4804370 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=8
D 00:04:07.4804860 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4805370 PowerTaskList.DebugPrintPower() -         tag=RARITY value=RARE
D 00:04:07.4805770 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=7
D 00:04:07.4806190 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=7
D 00:04:07.4806780 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Yogg-Saron's Magic id=9 zone=SETASIDE zonePos=0 cardId=OG_202b player=1] CardID=OG_202b
D 00:04:07.4807650 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4808130 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4808570 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=9
D 00:04:07.4809080 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4809600 PowerTaskList.DebugPrintPower() -         tag=RARITY value=RARE
D 00:04:07.4810490 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=7
D 00:04:07.4810970 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=7
D 00:04:07.4812540 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=10 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4813110 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4813540 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4813960 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=10
D 00:04:07.4814640 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=11 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4815240 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4815690 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4816120 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=11
D 00:04:07.4816810 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=12 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4817350 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4817770 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4818190 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=12
D 00:04:07.4818820 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=13 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4819370 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4819780 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4820200 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=13
D 00:04:07.4820830 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Wrath id=14 zone=SETASIDE zonePos=0 cardId=EX1_154a player=1] CardID=EX1_154a
D 00:04:07.4821380 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4821820 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4822680 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=14
D 00:04:07.4823340 PowerTaskList.DebugPrintPower() -         tag=FACTION value=NEUTRAL
D 00:04:07.4823850 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4824250 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=13
D 00:04:07.4824660 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=13
D 00:04:07.4825310 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Wrath id=15 zone=SETASIDE zonePos=0 cardId=EX1_154b player=1] CardID=EX1_154b
D 00:04:07.4825870 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4826280 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4826700 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=15
D 00:04:07.4827220 PowerTaskList.DebugPrintPower() -         tag=FACTION value=NEUTRAL
D 00:04:07.4827720 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4828140 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=13
D 00:04:07.4828560 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=13
D 00:04:07.4829170 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=UNKNOWN ENTITY [cardType=INVALID] id=16 zone=DECK zonePos=0 cardId= player=1] CardID=
D 00:04:07.4829720 PowerTaskList.DebugPrintPower() -         tag=ZONE value=DECK
D 00:04:07.4830430 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4830850 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=16
D 00:04:07.4831470 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Cat Form id=17 zone=SETASIDE zonePos=0 cardId=EX1_165a player=1] CardID=EX1_165a
D 00:04:07.4832040 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4832490 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
D 00:04:07.4832920 PowerTaskList.DebugPrintPower() -         tag=ENTITY_ID value=17
D 00:04:07.4833410 PowerTaskList.DebugPrintPower() -         tag=FACTION value=NEUTRAL
D 00:04:07.4833910 PowerTaskList.DebugPrintPower() -         tag=CARDTYPE value=SPELL
D 00:04:07.4834510 PowerTaskList.DebugPrintPower() -         tag=RARITY value=COMMON
D 00:04:07.4834900 PowerTaskList.DebugPrintPower() -         tag=CREATOR value=16
D 00:04:07.4835320 PowerTaskList.DebugPrintPower() -         tag=PARENT_CARD value=16
D 00:04:07.4835930 PowerTaskList.DebugPrintPower() -     FULL_ENTITY - Updating [name=Bear Form id=18 zone=SETASIDE zonePos=0 cardId=EX1_165b player=1] CardID=EX1_165b
D 00:04:07.4836480 PowerTaskList.DebugPrintPower() -         tag=ZONE value=SETASIDE
D 00:04:07.4836900 PowerTaskList.DebugPrintPower() -         tag=CONTROLLER value=1
